"Source","Make","Model","Year","Price (EUR)","Mileage (km)","Fuel","Transmission","Power (kW)","Body Type","Color","Listing URL","Source URL","Notes","Scraped At"
"pdf","","","","25292","","","","","","","","C:\Users\Moj PC\Desktop\Python scraper\mosqsk\PDF\06_Cjenik-i-Brošura_MG-HS-ICE_31.01.2026.pdf","","2026-04-23 23:59:15"
"pdf","","","2026","33419","","","","","","","","C:\Users\Moj PC\Desktop\Python scraper\mosqsk\PDF\CRO Starray Cjenik 24-02-2026.pdf","","2026-04-23 23:59:15"
"pdf","","","2026","31805","","petrol","","","","","","C:\Users\Moj PC\Desktop\Python scraper\mosqsk\PDF\CRO_Geely_Cityray_Cjenik_27-1-2026.pdf","","2026-04-23 23:59:16"
