"Source","Make","Model","Year","Price (EUR)","Mileage (km)","Fuel","Transmission","Power (kW)","Body Type","Color","Listing URL","Source URL","Notes","Scraped At"
"autozubak","Najpovoljniji","rabljeni automobili","","","","electric","","","","","https://www.autozubak.hr/audi-rabljena-vozila/","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000","","2026-04-23 23:54:53"
"autozubak","Najpovoljniji","rabljeni automobili","","","","electric","","","","","https://www.autozubak.hr/audi-rabljena-vozila/","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000","","2026-04-23 23:54:53"
"autozubak","Provjereni","rabljeni automobilis garancijom","","","","","","","","","","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000","","2026-04-23 23:54:53"
"autozubak","Najpovoljniji","rabljeni automobili","","","","","","","","","","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000","","2026-04-23 23:54:53"
"autozubak","","SKODA","2008","2000","50000","diesel","automatic","74","","","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000","","2026-04-23 23:54:53"
"autozubak","","SKODA","2008","2000","50000","diesel","automatic","74","","","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000","","2026-04-23 23:54:53"
"autozubak","Marka","vozila i model","2008","2000","50000","diesel","automatic","74","","","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000#","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000","","2026-04-23 23:54:53"
"autozubak","Marka","vozila i model","2008","2000","50000","diesel","automatic","74","","","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000#","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000","","2026-04-23 23:54:53"
"autozubak","","SKODA","2023","15900","23181","diesel","automatic","70","","","https://www.autozubak.hr/rabljeni-auti/skoda-fabia-10-tsi-ambition-5-vrata-10/","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000","","2026-04-23 23:54:53"
"autozubak","","SKODA","2023","15900","23181","diesel","automatic","70","","","https://www.autozubak.hr/rabljeni-auti/skoda-fabia-10-tsi-ambition-5-vrata-10/","https://www.autozubak.hr/rabljeni-auti/?priceFrom=2000&priceTo=300000","","2026-04-23 23:54:53"
